has_job_experience,requires_job_training,no_of_employees,yr_of_estab,prevailing_wage,full_time_position,processing_time_days,target_binary,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Bachelor's,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,region_of_employment_Island,region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Hour,unit_of_wage_Month,unit_of_wage_Week,unit_of_wage_Year
1,0,76638,1991,3706.79,1,42,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,2747,2001,16132.61,1,66,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,4743,2004,150441.13,1,60,1,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0,843,1972,79948.12,1,42,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,0,880,2008,71128.98,1,57,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,1706,2013,137694.98,0,29,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,2878,1968,45642.39,1,45,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0,1517,1884,90108.38,0,35,1,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,241,1981,71286.04,1,47,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,0,1100,1997,99489.65,1,51,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,756,1995,86332.95,1,54,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,1,2889,2005,103029.33,1,60,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,0,18,2004,40925.86,1,56,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,758,2009,189190.48,1,49,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,1408,1998,79594.12,0,31,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,995,1880,135866.13,0,64,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,2415,1963,72077.57,0,66,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0,0,2395,2000,81921.18,1,41,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0,0,1809,2010,225569.73,0,38,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,5512,2001,92421.92,1,55,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
1,0,2520,1981,2490.12,1,49,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,1,44,1965,110817.26,1,39,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,1,2206,1909,50960.01,1,35,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,3729,2007,125336.9,1,47,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,3723,2011,39633.32,1,57,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,1209,1989,156326.33,0,57,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,19770,2005,43630.58,1,47,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,2582,1989,54614.42,1,31,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,5407,1998,28989.87,1,61,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,1,2092,1998,22924.91,1,39,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,2623,2008,61567.75,1,39,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,226,1991,156251.17,1,41,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,2405,1933,86022.02,1,28,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,1,2171,1960,49565.37,1,52,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0,0,746,1991,66191.41,1,53,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,3129,2003,95623.2,0,53,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0,1647,1998,115014.05,1,62,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,2438,1976,35018.04,1,42,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,11733,1995,230.8072,1,56,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
1,0,2368,1998,113799.64,1,53,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,1,779,1994,85854.09,1,65,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,2825,1996,14174.04,1,52,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,3510,2007,47176.84,1,30,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
0,0,2624,2012,4949.28,1,56,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,1,5340,2010,67410.59,1,71,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,1,2311,1994,58791.58,1,34,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,0,5110,2004,103.2216,1,65,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
1,0,1316,1995,62591.57,1,52,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,100,2001,102919.59,1,60,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,2021,2007,123468.56,1,45,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0,80,1968,82324.64,0,30,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,2070,1847,5319.49,1,42,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,1,2654,2013,153019.94,1,49,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,292,2005,38059.89,1,56,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,1320,2001,230.327,1,54,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1,0,1722,2007,61521.92,1,40,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,0,3339,1935,121316.5,1,47,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,452,1890,122540.55,1,59,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,3705,2001,47170.76,1,52,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,85,1999,330.3743,1,29,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
1,0,2423,1838,2927.34,1,36,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,1274,1999,107781.48,1,55,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,1549,2001,590.0203,1,24,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,1,1062,1998,194176.83,1,26,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0,32619,1947,102073.81,1,62,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,4036,2001,113882.38,1,50,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,39,2000,70778.82,1,56,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0,2359,2007,84125.48,1,36,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,1,1023,2002,174014.59,1,52,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,2480,1981,34213.17,1,53,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0,0,1255,1989,79813.05,0,29,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
1,0,4455,1998,113327.34,1,65,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,0,2543,1939,78893.64,1,50,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,1359,2008,140290.16,1,39,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,1,2324,2006,111926.01,1,43,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
0,0,4103,2004,125880.21,1,13,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,3667,1970,527.8901,1,57,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
0,0,488,2010,49357.95,1,53,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,2724,1998,69335.2,1,32,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,1392,2001,99737.18,0,64,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,2573,1977,91449.62,1,22,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,3524,1982,34494.86,1,28,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0,0,1847,1977,395.995,1,39,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0,107535,1970,159645.51,1,44,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,2227,2007,28243.79,1,46,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,334,2007,43421.88,1,50,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,224,2008,80253.78,1,45,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,367,1982,115235.95,1,33,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,306,2003,95200.86,0,64,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,2317,1995,41613.52,1,64,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
0,0,890,1981,64137.41,1,50,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,2002,2006,66295.43,1,35,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,2903,1943,97520.02,1,67,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,2504,2001,65164.57,1,27,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,951,1956,73957.17,0,30,1,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,1327,1864,71415.43,1,36,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,2421,1974,87336.53,1,30,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,1019,2005,98966.72,1,36,1,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,0,1048,1985,83503.6,1,34,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,0,3323,2005,57590.66,1,45,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,509,1997,32400.2,1,45,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
1,1,2225,1976,65993.21,1,27,1,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,1641,1984,32161.6,1,46,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0,0,1144,2001,16421.37,1,46,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0,0,2334,1971,160676.39,0,48,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,1415,1913,53114.02,1,45,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
1,1,2754,1997,19176.21,1,55,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,1099,2005,204832.52,0,43,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,960,2012,40256.03,1,52,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,2750,1997,38841.44,1,52,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,2753,2010,133052.84,1,34,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
1,0,23287,2007,75234.64,0,29,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,2140,1997,37032.83,1,66,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,0,4499,2008,61617.73,1,50,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,2554,2005,247393.01,1,10,1,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,1333,1969,341.0229,1,43,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
0,0,928,1818,30570.95,1,47,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,0,4289,2005,19477.1,1,14,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,1,113282,2011,164893.0,1,59,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,0,1948,2002,131584.5,1,35,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,1933,1839,63896.35,1,48,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0,0,2847,2013,77883.22,1,42,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,1195,1914,108519.14,1,28,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,54,1988,47002.53,0,32,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,4390,1944,88720.29,0,38,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,73909,2004,60821.75,1,58,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,1,545,1855,66324.69,1,48,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,2831,1977,100398.58,1,38,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,1,1634,1999,51282.75,1,34,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,1810,1943,13322.72,1,58,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,3290,2005,357.8194,1,61,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
1,0,472,2004,4787.43,1,60,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,4273,1884,149023.92,1,49,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0,0,2326,1933,123739.41,1,51,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0,50351,1975,529.1105,1,35,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
1,0,2261,1966,68933.4,1,40,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,255,2003,412.3476,1,41,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1,0,373,2009,128931.59,0,22,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,1,22,1999,37751.51,1,56,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,1,3102,2001,81781.43,1,36,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,5147,1997,6256.18,1,65,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,284,2007,44539.97,1,55,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,0,1926,1801,104281.71,1,46,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,2510,1920,125323.7,1,51,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,1,1200,2013,81816.46,1,35,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,0,337,2004,4027.85,1,61,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,2880,1925,56117.39,0,40,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,0,816,1947,113212.16,1,47,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,2640,2009,47095.57,1,37,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,4190,2006,123437.12,0,32,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,459,1998,65894.51,1,50,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,3351,1993,174333.19,1,49,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
0,0,3639,1988,192.157,1,40,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
0,0,373,1992,71825.63,1,31,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0,0,201,1982,50362.77,1,28,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,5461,1979,9078.62,1,63,1,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,3050,1993,10341.89,1,43,1,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,28592,1997,61740.3,1,41,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,3207,1995,61031.95,1,55,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,5820,1998,31986.79,1,37,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,1,3229,1999,93384.38,1,25,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0,2708,2010,109921.68,1,35,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,1,2779,2002,122535.0,1,68,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,0,977,1986,105898.54,1,77,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
1,1,44069,2006,134350.49,1,46,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,1566,1931,126498.81,1,46,1,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,1,4439,1962,113366.37,1,30,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,1929,2001,100401.52,1,67,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0,654,1954,128173.92,1,51,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,1,557,2010,313.835,1,65,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0,421,2005,88809.74,1,48,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,600,2009,138032.0,1,37,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
1,0,1551,1989,630.66,1,63,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,2540,2003,29469.17,1,45,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1,0,961,2007,123688.79,1,66,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,3726,1884,111179.86,0,47,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,0,4045,1987,102909.59,0,24,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,128431,1991,128850.75,1,42,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,2180,1992,113637.4,1,53,1,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0,872,1991,179675.58,1,39,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,2689,1998,15814.94,1,25,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,1,2752,2006,21511.58,1,53,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,1375,1976,94252.62,0,43,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,7320,1868,89207.07,1,39,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,0,3282,1979,74441.11,1,48,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,1313,2002,99469.71,1,37,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0,3128,1999,31890.66,1,62,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
0,0,4757,1981,167376.13,1,30,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,2122,1859,130404.72,1,52,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,2524,1946,84130.53,1,51,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0,766,1950,89079.05,1,42,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,0,1190,2003,82464.74,1,29,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0,0,2741,2005,158.3807,1,50,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
0,0,3233,2012,62640.94,0,53,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,2696,1966,116642.18,0,36,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,0,3980,1869,53767.37,1,53,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,1,111,2008,115777.03,1,52,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0,0,5396,1963,101399.51,0,19,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,2778,2000,146374.48,1,37,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,1,789,1925,21282.82,1,57,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,1515,2001,269321.68,0,45,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,26891,1917,52114.54,1,32,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,1867,1933,2390.74,1,28,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,0,3395,2008,73623.94,1,31,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,879,1996,141796.39,1,38,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
1,1,2518,2010,219529.62,1,22,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,2468,1991,195404.0,1,20,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,0,787,1913,158569.72,0,59,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,1004,1960,135792.52,1,53,1,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0,717,1998,100379.63,1,29,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0,20,1997,138925.72,0,35,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,0,503,1998,118458.61,1,38,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
1,0,584,1968,688.1266,1,46,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,0,2770,1997,112028.45,0,40,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
